Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final)
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6995279;1;3;Cozinheiro Geral                                                                                                                                      ;DIVINA                                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;CRUZ ALTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6992775;1;1;Empregado  Domestico  Nos Servicos Gerais                                                                                                             ;DORMITORIO DURMA BEM                                                                                                                                  ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;BELA VISTA                                                                                                                                            ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine  Nazare da Mata/Pe                                                                                                                               ;6987802;1;1;Conferente de Carga e Descarga                                                                                                                        ;DO MESTRE                                                                                                                                             ;Pernambuco                                                                                                                                            ;PE-Nazaré da Mata                                                                                                                                     ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6992013;1;1;Lavador de Veiculos                                                                                                                                   ;JETWASH LAVAGEM INTELIGENTE                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;TORRE                                                                                                                                                 ;Permanente                                                                                                                                            ;"1.320,00";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6992211;5;2;Supervisor de Manutencao Eletrica de Alta Ten                                                                                                         ;SETTA ENERGIA                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Alojamento, Outros                                                                                                                          ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6990114;1;3;Instalador de Tubulacoes de Gas Combustivel (                                                                                                         ;ENGEAR                                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VIAGEM                                                                                                                                            ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Ticket Alimentação                                                                                                                          ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6992789;1;1;Confeiteiro                                                                                                                                           ;TORTAS DA NEGA                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;SAO CRISTOVAO                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6995372;1;2;Vendedor de Comercio Varejista                                                                                                                        ;TOPLIFE                                                                                                                                               ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;CRUZ ALTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Goiana/Pe                                                                                                                                        ;6987622;2;6;Borracheiro                                                                                                                                           ;patrimonial renovadora                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Goiana                                                                                                                                             ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7019389;2;4;Ciclista Mensageiro                                                                                                                                   ;ATIVA ASSESSORIA EM TELECOMUNICOES                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;"1.370,00";Mês                                                                                                                                                   ;Condução                                                                                                                                              ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Arcoverde/Pe                                                                                                                                     ;6991738;1;8;Padeiro                                                                                                                                               ;PANIFICADORA PALMAS DE OURO                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Arcoverde                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Manhã/Tarde/Noite                                                                                                                                     ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Goiana/Pe                                                                                                                                        ;6987695;1;2;Gerente Administrativo                                                                                                                                ;patrimonial renovadora                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Goiana                                                                                                                                             ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Completo                                                                                                                                     ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6988262;1;1;Gerente de Producao e Operacoes                                                                                                                       ;STAMP NORT                                                                                                                                            ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;SAO CRISTOVAO                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Paulista/Pe                                                                                                                                      ;6990379;1;2;Acougueiro                                                                                                                                            ;MERCADINHO E PADARIA ESPERANCA                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Paulista                                                                                                                                           ;ENGENHO MARANGUAPE                                                                                                                                    ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;Condução                                                                                                                                              ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;6993839;2;59;Pedreiro                                                                                                                                              ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;6958820;3;43;Soldador                                                                                                                                              ;confidencial                                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Gratava                                                                                                                                            ;PRADO                                                                                                                                                 ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6960143;1;6;Mecanico de Manutencao de Automoveis Motocicl                                                                                                         ;HN CAR SERVICE                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6960187;2;1;Mecanico de Manutencao de Automoveis Motocicl                                                                                                         ;HN CAR SERVICE                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Goiana/Pe                                                                                                                                        ;6961547;1;4;Operador de Caixa                                                                                                                                     ;NOVO NORDESTE CONSTRUCOES                                                                                                                             ;Pernambuco                                                                                                                                            ;PE-Goiana                                                                                                                                             ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"1.450,00";Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;6958966;1;14;Auxiliar de Logistica                                                                                                                                 ;confidencial                                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Gratava                                                                                                                                            ;PRADO                                                                                                                                                 ;Menor Aprendiz                                                                                                                                        ;240;Mês                                                                                                                                                   ;Condução                                                                                                                                              ;Manhã                                                                                                                                                 ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;18;23
